Code,Name,Region
AL,Alabama,4
AK,Alaska,10
AZ,Arizona,9
AR,Arkansas,6
CA,California,9
CO,Colorado,8
CT,Connecticut,1
DE,Delaware,3
DC,District of Columbia,3
FL,Florida,4
GA,Georgia,4
HI,Hawaii,9
ID,Idaho,10
IL,Illinois,5
IN,Indiana,5
IA,Iowa,7
KS,Kansas,7
KY,Kentucky,4
LA,Louisiana,6
ME,Maine,1
MD,Maryland,3
MA,Massachusetts,1
MI,Michigan,5
MN,Minnesota,5
MS,Mississippi,4
MO,Missouri,7
MT,Montana,8
NE,Nebraska,7
NV,Nevada,9
NH,New Hampshire,1
NJ,New Jersey,2
NM,New Mexico,6
NY,New York,2
NC,North Carolina,4
ND,North Dakota,8
OH,Ohio,5
OK,Oklahoma,6
OR,Oregon,10
PA,Pennsylvania,3
RI,Rhode Island,1
SC,South Carolina,4
SD,South Dakota,8
TN,Tennessee,4
TX,Texas,6
UT,Utah,8
VT,Vermont,1
VA,Virginia,3
WA,Washington,10
WV,West Virginia,3
WI,Wisconsin,5
WY,Wyoming,8
